"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 28-Apr-2022","30 D % CHNG 
 29-Mar-2023"
"NIFTY 50","18,117.30","18,187.25","18,104.90","18,255.80","18,175.65","-80.15","-0.44","44,933,731","51,678,293,648.63","18,887.60","15,183.40","9.46","4.93"
"AXISBANK","867.15","882.70","867.15","865.95","882.60","16.65","1.92","2,582,401","2,263,345,356.45","970.00","618.25","22.45","0.16"
"LT","2,357.00","2,404.20","2,357.00","2,356.90","2,395.50","38.60","1.64","655,007","1,567,582,402.61","2,416.35","1,456.35","44.25","8.61"
"ICICIBANK","925.00","942.45","923.45","921.70","933.65","11.95","1.30","3,479,180","3,249,136,618.40","958.20","669.95","27.26","4.29"
"NESTLEIND","21,799.95","21,988.95","21,749.90","21,693.75","21,945.75","252.00","1.16","9,620","210,805,753.60","22,099.00","16,000.00","19.94","10.09"
"SBILIFE","1,172.00","1,181.80","1,167.50","1,167.45","1,180.75","13.30","1.14","306,642","360,589,527.06","1,340.35","1,033.20","8.31","5.77"
"SBIN","580.20","586.95","580.20","580.00","585.90","5.90","1.02","2,966,773","1,734,434,831.26","629.55","430.70","20.92","10.11"
"TITAN","2,670.60","2,699.00","2,666.30","2,670.40","2,695.40","25.00","0.94","296,770","795,652,240.80","2,791.00","1,825.05","16.61","5.24"
"KOTAKBANK","1,952.15","1,969.95","1,949.35","1,947.60","1,964.30","16.70","0.86","626,570","1,226,993,233.90","1,997.55","1,631.00","9.69","11.57"
"HEROMOTOCO","2,537.00","2,546.10","2,512.55","2,514.50","2,534.80","20.30","0.81","459,784","1,163,800,662.96","2,938.60","2,246.00","4.36","3.43"
"MARUTI","8,800.60","8,868.70","8,790.00","8,800.60","8,863.85","63.25","0.72","66,379","586,764,472.19","9,769.00","7,062.35","18.96","3.50"
"ULTRACEMCO","7,520.00","7,599.85","7,505.50","7,502.25","7,545.00","42.75","0.57","47,725","361,087,827.25","7,824.00","5,157.05","15.03","-1.81"
"BAJAJFINSV","1,371.50","1,382.45","1,364.60","1,374.45","1,379.15","4.70","0.34","347,045","476,694,071.10","1,844.00","1,072.72","-90.40","7.13"
"EICHERMOT","3,339.30","3,351.55","3,324.75","3,339.30","3,350.10","10.80","0.32","159,102","531,481,822.02","3,889.65","2,310.00","34.48","11.15"
"BRITANNIA","4,594.65","4,616.70","4,594.10","4,587.05","4,601.10","14.05","0.31","47,686","219,706,568.96","4,669.20","3,156.90","35.49","6.08"
"TCS","3,220.00","3,232.50","3,210.55","3,220.70","3,229.95","9.25","0.29","281,321","907,527,479.95","3,575.00","2,926.10","-7.44","0.65"
"RELIANCE","2,441.00","2,461.35","2,436.00","2,448.00","2,454.35","6.35","0.26","997,442","2,443,722,925.58","2,817.35","2,180.00","-9.12","5.00"
"ITC","425.95","427.50","424.35","424.60","425.70","1.10","0.26","910,389","388,044,207.36","428.50","249.15","63.46","12.06"
"TATACONSUM","777.90","780.60","775.50","775.50","776.50","1.00","0.13","86,551","67,377,356.97","861.15","686.60","-3.46","8.15"
"HINDUNILVR","2,500.00","2,520.00","2,496.80","2,506.75","2,509.10","2.35","0.09","243,141","610,023,749.13","2,741.60","2,100.00","15.44","-1.16"
"TATAMOTORS","481.65","482.60","480.30","480.80","481.15","0.35","0.07","707,182","340,571,779.38","494.40","366.20","13.53","13.33"
"INDUSINDBK","1,131.00","1,136.00","1,117.70","1,134.60","1,135.00","0.40","0.04","656,936","740,820,157.84","1,275.80","763.20","15.98","5.18"
"DIVISLAB","3,292.00","3,294.00","3,264.15","3,282.55","3,283.35","0.80","0.02","22,947","75,255,145.44","4,600.00","2,730.00","-24.44","14.19"
"APOLLOHOSP","4,550.00","4,553.15","4,521.50","4,553.20","4,551.90","-1.30","-0.03","48,947","222,145,470.03","4,901.95","3,361.55","13.45","7.53"
"HDFCLIFE","543.00","548.75","541.35","546.50","546.30","-0.20","-0.04","500,253","272,547,839.46","620.60","457.80","-3.72","8.50"
"M&M","1,232.80","1,242.35","1,228.10","1,231.70","1,231.20","-0.50","-0.04","286,413","353,966,370.18","1,397.00","853.70","37.45","5.28"
